appointmentId,listingPrice,carName,make,model,variant,year,transmissionType,bodyType,fuelType,ownership,registrationDate,cityRto,color,odometer,emiDetails,modelGroup,fitnessAge,features
11959240770,452000,Maruti S PRESSO,Maruti,S PRESSO,VXI+,2023,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,1,1680307200000,WB02,Silver,"{'value': 21697, 'display': '21.70k km'}","{'cashDownPayment': 0, 'emiStartingValue': 8837, 'emiEndingValue': 8837, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 8837, 'emiOriginalEndingValue': 8837, 'tenure': 72, 'displayText': 'EMI ₹8,837/m', 'notAvailableText': 'Not available on EMI'}",S PRESSO,15,"['InfotainmentSystem', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist']"
11327545788,450000,Ford Ecosport,Ford,Ecosport,TITANIUM+ 1.5L DIESEL,2016,"{'value': 'Manual', 'display': 'Manual'}",SUV,Diesel,3,1485907200000,TN14,Black,"{'value': 91704, 'display': '91.70k km'}","{'cashDownPayment': 0, 'emiStartingValue': 10010, 'emiEndingValue': 10010, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 10010, 'emiOriginalEndingValue': 10010, 'tenure': 60, 'displayText': 'EMI ₹10,010/m', 'notAvailableText': 'Not available on EMI'}",Ecosport,14,"['LeatherSeats', 'AlloyWheels', 'Bluetooth', 'ParkingAssist', 'PushButtonStart', 'TopModel']"
10274146718,861000,KIA SONET,KIA,SONET,HTK PLUS 1.0 IMT,2023,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,1,1680307200000,KA03,Black,"{'value': 32784, 'display': '32.78k km'}","{'cashDownPayment': 0, 'emiStartingValue': 16388, 'emiEndingValue': 16388, 'roiMinDiscounted': 11.0, 'roiMaxDiscounted': 11.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 16833, 'emiOriginalEndingValue': 16833, 'tenure': 72, 'displayText': 'EMI ₹16,388/m', 'notAvailableText': 'Not available on EMI'}",SONET,15,"['InfotainmentSystem', 'RearAc', 'Sunroof/Moonroof', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'PushButtonStart', 'Tpms']"
15203245774,1000000,Volkswagen TAIGUN,Volkswagen,TAIGUN,COMFORTLINE 1.0 TSI MT,2022,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,1,1661990400000,RJ19,Silver,"{'value': 23848, 'display': '23.85k km'}","{'cashDownPayment': 0, 'emiStartingValue': 19034, 'emiEndingValue': 19034, 'roiMinDiscounted': 11.0, 'roiMaxDiscounted': 11.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 19550, 'emiOriginalEndingValue': 19550, 'tenure': 72, 'displayText': 'EMI ₹19,034/m', 'notAvailableText': 'Not available on EMI'}",TAIGUN,15,"['InfotainmentSystem', 'RearAc', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'Tpms']"
12530344793,612000,Maruti Ertiga,Maruti,Ertiga,VDI,2014,"{'value': 'Manual', 'display': 'Manual'}",SUV,Diesel,2,1409529600000,MH20,White,"{'value': 220702, 'display': '2.2L km'}","{'cashDownPayment': 0, 'emiStartingValue': 20327, 'emiEndingValue': 20327, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 20327, 'emiOriginalEndingValue': 20327, 'tenure': 36, 'displayText': 'EMI ₹20,327/m', 'notAvailableText': 'Not available on EMI'}",Ertiga,14,"['RearAc', 'SpecialRegNo']"
17176742770,515000,Volkswagen Polo,Volkswagen,Polo,GT TSI AT,2018,"{'value': 'Automatic', 'display': 'Auto'}",Hatchback,Petrol,3,1535760000000,TN57,White,"{'value': 70743, 'display': '70.74k km'}","{'cashDownPayment': 0, 'emiStartingValue': 10068, 'emiEndingValue': 10068, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 10068, 'emiOriginalEndingValue': 10068, 'tenure': 72, 'displayText': 'EMI ₹10,068/m', 'notAvailableText': 'Not available on EMI'}",Polo,15,"['AlloyWheels', 'Bluetooth', 'ParkingAssist', 'CruiseControl']"
12529943753,650000,Tata PUNCH,Tata,PUNCH,PURE MT,2023,"{'value': 'Manual', 'display': 'Manual'}",SUV,Petrol,1,1688169600000,MH22,Silver,"{'value': 15882, 'display': '15.88k km'}","{'cashDownPayment': 0, 'emiStartingValue': 12708, 'emiEndingValue': 12708, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 12708, 'emiOriginalEndingValue': 12708, 'tenure': 72, 'displayText': 'EMI ₹12,708/m', 'notAvailableText': 'Not available on EMI'}",PUNCH,15,['ParkingAssist']
10530022700,295000,Maruti Swift Dzire,Maruti,Swift Dzire,VXI,2013,"{'value': 'Manual', 'display': 'Manual'}",Sedan,Petrol,1,1380585600000,DL13,Silver,"{'value': 22909, 'display': '22.91k km'}","{'cashDownPayment': 0, 'emiStartingValue': 9798, 'emiEndingValue': 9798, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 9798, 'emiOriginalEndingValue': 9798, 'tenure': 36, 'displayText': 'EMI ₹9,798/m', 'notAvailableText': 'Not available on EMI'}",Dzire,15,[]
DLR1000806,483317,Toyota Innova,Toyota,Innova,2.5 G4 8 STR,2011,"{'value': 'Manual', 'display': 'Manual'}",SUV,Diesel,1,1314835200000,MH04,Silver,"{'value': 109667, 'display': '1.1L km'}","{'cashDownPayment': 0, 'emiStartingValue': 9449, 'emiEndingValue': 9449, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 9449, 'emiOriginalEndingValue': 9449, 'tenure': 0, 'displayText': 'EMI ₹9,449/m', 'notAvailableText': 'Not available on EMI'}",Innova,14,['RearAc']
10427821705,355000,Renault Kwid,Renault,Kwid,CLIMBER 1.0 (O),2020,"{'value': 'Manual', 'display': 'Manual'}",Hatchback,Petrol,1,1598918400000,TS09,Blue,"{'value': 39651, 'display': '39.65k km'}","{'cashDownPayment': 0, 'emiStartingValue': 6940, 'emiEndingValue': 6940, 'roiMinDiscounted': 12.0, 'roiMaxDiscounted': 12.0, 'roiMinOriginal': 12.0, 'roiMaxOriginal': 12.0, 'emiOriginalStartingValue': 6940, 'emiOriginalEndingValue': 6940, 'tenure': 72, 'displayText': 'EMI ₹6,940/m', 'notAvailableText': 'Not available on EMI'}",Kwid,15,"['InfotainmentSystem', 'Bluetooth', 'AppleCarplayAndroidAuto', 'ParkingAssist', 'GpsNavigation']"
